site,application,payment_method,sku,street,state,country,code,city,lang,login,shipping_method
TomTom-AMER-Site,CA,ADYEN_HPP,1SC0.002.06,234 Laurier Avenue West,ON,Canada,K1A 0G9,Ottawa,en_CA,ISH_MIXED_Perf_User_CA_1585026537899@tomtomtest.com,CA_STD
TomTom-APAC-Site,NZ,ADYEN_HPP,MUS.025.03,362 Leith St,North Dunedin,New Zealand,9016,Dunedin,en_NZ,ISH_MIXED_Perf_User_NZ_1585026537731@tomtomtest.com,STR_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026538347@tomtomtest.com,ML_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026538837@tomtomtest.com,STR_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026539339@tomtomtest.com,ML_STD
TomTom-EMEA-Site,DE,ADYEN_HPP,1SC0.001.10,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,de_DE,ISH_MIXED_Perf_User_DE_1585026539841@tomtomtest.com,ML_STD
TomTom-EMEA-Site,PL,ADYEN_HPP,MUS.017.3M,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,pl_PL,ISH_MIXED_Perf_User_PL_1585026540851@tomtomtest.com,ML_STD
TomTom-APAC-Site,NZ,ADYEN_HPP,MUS.025.03,362 Leith St,North Dunedin,New Zealand,9016,Dunedin,en_NZ,ISH_MIXED_Perf_User_NZ_1585026540347@tomtomtest.com,STR_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026541351@tomtomtest.com,STR_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026541858@tomtomtest.com,STR_STD
TomTom-AMER-Site,CA,ADYEN_HPP,1SC0.002.06,234 Laurier Avenue West,ON,Canada,K1A 0G9,Ottawa,en_CA,ISH_MIXED_Perf_User_CA_1585026542345@tomtomtest.com,CA_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026542846@tomtomtest.com,ML_STD
TomTom-AMER-Site,US,ADYEN_HPP,MUS.013.12,55 Chesswood Court,TX,United States,77566,Lake Jackson,en_US,ISH_MIXED_Perf_User_US_1585026543351@tomtomtest.com,ATC_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026543833@tomtomtest.com,STR_STD
TomTom-APAC-Site,NZ,ADYEN_HPP,MUS.025.03,362 Leith St,North Dunedin,New Zealand,9016,Dunedin,en_NZ,ISH_MIXED_Perf_User_NZ_1585026544339@tomtomtest.com,STR_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026544832@tomtomtest.com,ML_STD
TomTom-AMER-Site,US,ADYEN_HPP,MUS.013.12,55 Chesswood Court,TX,United States,77566,Lake Jackson,en_US,ISH_MIXED_Perf_User_US_1585026545354@tomtomtest.com,ATC_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026545839@tomtomtest.com,ML_STD
TomTom-AMER-Site,CA,ADYEN_HPP,1SC0.002.06,234 Laurier Avenue West,ON,Canada,K1A 0G9,Ottawa,en_CA,ISH_MIXED_Perf_User_CA_1585026546329@tomtomtest.com,CA_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026546848@tomtomtest.com,ML_STD
TomTom-EMEA-Site,DE,ADYEN_HPP,1SC0.001.10,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,de_DE,ISH_MIXED_Perf_User_DE_1585026547357@tomtomtest.com,ML_STD
TomTom-EMEA-Site,PL,ADYEN_HPP,MUS.017.3M,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,pl_PL,ISH_MIXED_Perf_User_PL_1585026547854@tomtomtest.com,ML_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026548360@tomtomtest.com,STR_STD
TomTom-APAC-Site,NZ,ADYEN_HPP,MUS.025.03,362 Leith St,North Dunedin,New Zealand,9016,Dunedin,en_NZ,ISH_MIXED_Perf_User_NZ_1585026548840@tomtomtest.com,STR_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026549340@tomtomtest.com,ML_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026549854@tomtomtest.com,ML_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026550347@tomtomtest.com,ML_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026550832@tomtomtest.com,ML_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026551340@tomtomtest.com,ML_STD
